case_id,server,from_version,to_version,label,note
ai.bowmark/bowmark|3.22.1|3.22.2,ai.bowmark/bowmark,3.22.1,3.22.2,moved_to_new_repo,none
ai.trendsapi/amazon|1.0.0|1.0.1,ai.trendsapi/amazon,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/app-store|1.0.0|1.0.1,ai.trendsapi/app-store,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/competitor-tracking|1.0.0|1.0.1,ai.trendsapi/competitor-tracking,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/content-strategy|1.0.0|1.0.1,ai.trendsapi/content-strategy,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/crypto|1.0.0|1.0.1,ai.trendsapi/crypto,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/ecommerce|1.0.0|1.0.1,ai.trendsapi/ecommerce,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/google-trends|1.0.0|1.0.1,ai.trendsapi/google-trends,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/market-research|1.0.0|1.0.1,ai.trendsapi/market-research,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/news-sentiment|1.0.0|1.0.1,ai.trendsapi/news-sentiment,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/news-volume|1.0.0|1.0.1,ai.trendsapi/news-volume,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/npm|1.0.0|1.0.1,ai.trendsapi/npm,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/reddit|1.0.0|1.0.1,ai.trendsapi/reddit,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/seo|1.0.0|1.0.1,ai.trendsapi/seo,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/social-media|1.0.0|1.0.1,ai.trendsapi/social-media,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/spotify|1.0.0|1.0.1,ai.trendsapi/spotify,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/steam|1.0.0|1.0.1,ai.trendsapi/steam,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/tiktok|1.0.0|1.0.1,ai.trendsapi/tiktok,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/trends|1.0.0|1.0.1,ai.trendsapi/trends,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/wikipedia|1.0.0|1.0.1,ai.trendsapi/wikipedia,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/x-twitter|1.0.0|1.0.1,ai.trendsapi/x-twitter,1.0.0,1.0.1,moved_to_new_repo,
ai.trendsapi/youtube|1.0.0|1.0.1,ai.trendsapi/youtube,1.0.0,1.0.1,moved_to_new_repo,
com.nitrosend/nitrosend|0.7.1|0.8.2,com.nitrosend/nitrosend,0.7.1,0.8.2,moved_to_new_repo,
com.unifapi/mcp|0.1.0|0.1.1,com.unifapi/mcp,0.1.0,0.1.1,moved_to_new_repo,
film.martini/mcp|0.1.0|0.1.1,film.martini/mcp,0.1.0,0.1.1,moved_to_new_repo,
io.github.algorerthym/agent-commons|0.1.1|0.1.2,io.github.algorerthym/agent-commons,0.1.1,0.1.2,moved_to_new_repo,
io.github.avabuildsdata/mcp-us-business-data|1.9.9|1.0.1,io.github.avabuildsdata/mcp-us-business-data,1.9.9,1.0.1,deleted_and_recreated,
io.github.avabuildsdata/mcp-us-business-data|1.0.2|1.9.10,io.github.avabuildsdata/mcp-us-business-data,1.0.2,1.9.10,deleted_and_recreated,
io.github.avabuildsdata/mcp-us-business-data|1.9.13|1.9.14,io.github.avabuildsdata/mcp-us-business-data,1.9.13,1.9.14,deleted_and_recreated,
io.github.avabuildsdata/mcp-us-business-data|1.9.14|1.9.15,io.github.avabuildsdata/mcp-us-business-data,1.9.14,1.9.15,deleted_and_recreated,
io.github.avabuildsdata/mcp-us-business-data|1.9.15|1.9.16,io.github.avabuildsdata/mcp-us-business-data,1.9.15,1.9.16,deleted_and_recreated,
io.github.avabuildsdata/mcp-us-business-data|1.9.20|1.9.21,io.github.avabuildsdata/mcp-us-business-data,1.9.20,1.9.21,deleted_and_recreated,
io.github.avabuildsdata/mcp-us-business-data|1.9.21|1.9.22,io.github.avabuildsdata/mcp-us-business-data,1.9.21,1.9.22,deleted_and_recreated,
io.github.avabuildsdata/mcp-us-business-data|1.9.22|1.9.23,io.github.avabuildsdata/mcp-us-business-data,1.9.22,1.9.23,deleted_and_recreated,
io.github.avabuildsdata/mcp-us-business-data|1.9.23|1.9.24,io.github.avabuildsdata/mcp-us-business-data,1.9.23,1.9.24,deleted_and_recreated,
io.github.avabuildsdata/mcp-us-business-data|1.9.24|1.9.25,io.github.avabuildsdata/mcp-us-business-data,1.9.24,1.9.25,deleted_and_recreated,
io.github.avabuildsdata/mcp-us-business-data|1.9.25|1.9.26,io.github.avabuildsdata/mcp-us-business-data,1.9.25,1.9.26,deleted_and_recreated,
io.github.avabuildsdata/mcp-us-business-data|1.9.30|1.9.31,io.github.avabuildsdata/mcp-us-business-data,1.9.30,1.9.31,deleted_and_recreated,
io.github.avabuildsdata/mcp-us-business-data|1.9.31|1.9.32,io.github.avabuildsdata/mcp-us-business-data,1.9.31,1.9.32,deleted_and_recreated,
io.github.avabuildsdata/mcp-us-business-data|1.9.32|1.9.33,io.github.avabuildsdata/mcp-us-business-data,1.9.32,1.9.33,deleted_and_recreated,
io.github.avabuildsdata/mcp-us-business-data|1.9.33|1.9.34,io.github.avabuildsdata/mcp-us-business-data,1.9.33,1.9.34,deleted_and_recreated,
io.github.avabuildsdata/mcp-us-business-data|1.9.37|1.9.38,io.github.avabuildsdata/mcp-us-business-data,1.9.37,1.9.38,deleted_and_recreated,
io.github.oaslananka/kicad-mcp-pro|3.27.0|3.28.0,io.github.oaslananka/kicad-mcp-pro,3.27.0,3.28.0,deleted_and_recreated,
io.github.silex-tec/silex|0.11.37|0.11.38,io.github.silex-tec/silex,0.11.37,0.11.38,moved_to_new_repo,
io.github.uizze/uizze|1.1.20|1.2.7,io.github.uizze/uizze,1.1.20,1.2.7,moved_to_new_repo,
org.virtualflybrain/vfb3-mcp|1.11.0|1.11.1,org.virtualflybrain/vfb3-mcp,1.11.0,1.11.1,moved_to_new_repo,
video.future/future-video-studio|0.1.0|0.1.1,video.future/future-video-studio,0.1.0,0.1.1,moved_to_new_repo,
